Designator,Mid X,Mid Y,Rotation,Layer
C1,190.8,-97.787939,270.0,top
C10,183.0,-82.187939,90.0,top
C11,192.095942,-85.687939,0.0,top
C12,191.295234,-84.414315,0.0,top
C13,190.775,-82.84691,0.0,top
C14,179.5,-90.812271,180.0,top
C15,180.715349,-83.556471,0.0,top
C16_2,183.7,-104.887939,270.0,top
C16,187.327075,-104.887939,270.0,top
C2,193.0,-102.387939,180.0,top
C21_2,184.7,-104.887939,270.0,top
C21,188.327075,-104.887939,270.0,top
C3,195.1,-98.387939,270.0,top
C4,195.0,-101.687939,90.0,top
C5,193.31226,-84.151643,90.0,top
C6_2,190.231406,-92.659683,270.0,top
C6,189.32312,-94.366202,0.0,top
C7,177.203661,-89.505881,180.0,top
C8,176.400399,-87.195219,270.0,top
C9,181.5,-92.887939,270.0,top
FB1,179.224571,-89.687939,0.0,top
H1,177.5,-80.687939,0.0,top
H2,194.5,-80.687939,0.0,top
H3,177.5,-105.687939,0.0,top
H4,194.5,-105.687939,0.0,top
J1,178.2,-95.487939,270.0,bottom
J2,186.0,-98.168012,180.0,top
J3,195.615369,-90.739685,270.0,bottom
J4,177.5,-84.187939,180.0,top
J5,193.857845,-92.687939,270.0,top
J7,176.466886,-101.389776,270.0,top
M1,186.0,-103.727939,0.0,top
M2,189.6,-103.727939,0.0,top
M3,182.4,-103.727939,0.0,top
Q2,178.173447,-101.33423,180.0,top
R1,184.0,-82.187939,90.0,top
R2,192.128021,-87.248971,0.0,top
R3,180.704641,-84.627264,0.0,top
R4,180.719215,-82.431248,0.0,top
R5,179.910842,-101.357096,90.0,top
U1,186.0,-88.525439,180.0,top
U2,193.1,-99.487939,90.0,top
U3,195.127084,-84.512034,0.0,top
U5,178.5,-87.187939,270.0,top
Y1,186.672848,-81.934299,180.0,top
